EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
TEK LEADERS INC	QA AUTOMATION ENGINEER	70,000	MARYLAND HEIGHTS, MO	06/14/2023	12/14/2023
IT RESOURCES INC	QA AUTOMATION ENGINEER	70,054	SAINT LOUIS, MO	06/21/2023	09/24/2023
FINACLE SOFT INC	QA AUTOMATION ENGINEER	70,574	LAKE MARY, FL	08/17/2023	08/17/2023
S9 TECHNOLOGIES INC	QA AUTOMATION ENGINEER	71,000	WAUWATOSA, WI	05/05/2023	05/05/2023
ICLOUDTEQ LLC	QA AUTOMATION ENGINEER	71,094	HOUSTON, TX	05/30/2023	10/01/2023
FOCUS CORE INC	QA AUTOMATION ENGINEER	72,426	HOFFMAN ESTATES, IL	04/03/2023	10/01/2023
COGNIER INC	QA AUTOMATION ENGINEER	74,381	IRVING, TX	03/22/2023	03/29/2023
VITS CONSULTING CORP	QA AUTOMATION ENGINEER	74,381	CELINA, TX	04/21/2023	10/01/2023
VDART INC	QA AUTOMATION ENGINEER	74,381	PLANO, TX	04/26/2023	10/01/2023
CONNECTEDX INC	QA AUTOMATION ENGINEER	74,381	PLANO, TX	06/13/2023	10/01/2023
ARCUS TECHNOLOGIES	QA AUTOMATION ENGINEER	75,000	FRISCO, TX	09/22/2023	10/02/2023
NARWAL INC	QA AUTOMATION ENGINEER	75,000	CINCINNATI, OH	09/12/2023	10/01/2023
MICROINFO INC	QA AUTOMATION ENGINEER	75,000	DALLAS, TX	03/20/2023	03/25/2023
SAPPHIRE SOFTWARE SOLUTIONS INC	QA AUTOMATION ENGINEER	75,000	NASHVILLE, TN	05/01/2023	05/22/2023
SAPPHIRE SOFTWARE SOLUTIONS INC	QA AUTOMATION ENGINEER	75,000	NASHVILLE, TN	05/08/2023	05/16/2023
COMPUTE TECH INC	QA AUTOMATION ENGINEER	75,000	IRVING, TX	05/24/2023	10/01/2023
CLIENT FOCUS LLC	QA AUTOMATION ENGINEER	75,296	TAMPA, FL	09/18/2023	09/30/2023
VALUEPRO INC	QA AUTOMATION ENGINEER	75,566	MONMOUTH JUNCTION, NJ	06/12/2023	10/01/2023
OBJECT EXPERTS LLC	QA AUTOMATION ENGINEER	75,566	MONMOUTH JUNCTION, NJ	06/12/2023	10/01/2023
OBJECT EXPERTS LLC	QA AUTOMATION ENGINEER	75,566	MONMOUTH JUNCTION, NJ	06/12/2023	10/01/2023
AKOYA SOLUTIONS LLC	QA AUTOMATION ENGINEER	75,566	SOUTH PLAINFIELD, NJ	06/21/2023	10/01/2023
TECHNOCRAFT SOLUTIONS LLC	QA AUTOMATION ENGINEER	75,570	SOMERSET, NJ	06/02/2023	10/01/2023
MEGHAZ INC	QA AUTOMATION ENGINEER	75,795	RICHMOND, TX	02/15/2023	02/23/2023
WARREN AND CARTER TECHNOLOGIES INC	QA AUTOMATION ENGINEER	76,000	RICHMOND, TX	04/11/2023	04/17/2023
SANCTITYINTERNATIONAL LLC	QA AUTOMATION ENGINEER	76,400	RICHMOND, VA	05/06/2023	10/01/2023
ARC SOLUTIONS USA INC	QA AUTOMATION ENGINEER	76,856	MCKINNEY, TX	04/03/2023	04/10/2023
QUADIENT INC	QA AUTOMATION ENGINEER	77,000	MILFORD, CT	05/05/2023	10/01/2023
OCEAN BLUE SOLUTIONS INC	QA AUTOMATION ENGINEER	77,000	WESTERVILLE, OH	05/09/2023	10/01/2023
IT FORCE INC	QA AUTOMATION ENGINEER	77,500	EAST SYRACUSE, NY	05/02/2023	05/15/2023
SANCTITYINTERNATIONAL LLC	QA AUTOMATION ENGINEER	77,772	RICHMOND, VI	04/24/2023	10/01/2023
SANCTITYINTERNATIONAL LLC	QA AUTOMATION ENGINEER	77,775	RICHMOND, VI	04/21/2023	10/01/2023
TED SOFT SOLUTIONS INC	QA AUTOMATION ENGINEER	78,000	FARMINGTON HILLS, MI	06/15/2023	10/01/2023
ICLOUD TECHNOLOGIES CORP	QA AUTOMATION ENGINEER	78,400	WHIPPANY, NJ	06/21/2023	06/29/2023
KYORYOUNA INC	QA AUTOMATION ENGINEER	78,957	PROSPECT HEIGHTS, IL	06/13/2023	10/01/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA AUTOMATION ENGINEER	79,269	PLEASANTON, CA	06/07/2023	10/01/2023
VITS CONSULTING CORP	QA AUTOMATION ENGINEER	79,414	PLYMOUTH, MN	04/05/2023	04/08/2023
VITS CONSULTING CORP	QA AUTOMATION ENGINEER	79,414	PLYMOUTH, MN	04/17/2023	10/01/2023
VITS CONSULTING CORP	QA AUTOMATION ENGINEER	79,414	MINNEAPOLIS, MN	05/12/2023	10/01/2023
ARDOR IT SOLUTIONS INC	QA AUTOMATION ENGINEER	79,414	PRINCETON, TX	06/16/2023	06/26/2023
IT MINDS LLC	QA AUTOMATION ENGINEER	79,456	IRVINE, CA	05/02/2023	10/01/2023
NUEVE SOLUTIONS LLC	QA AUTOMATION ENGINEER	79,643	AUSTIN, TX	09/06/2023	10/01/2023
CODINIX INC	QA AUTOMATION ENGINEER	80,000	ISELIN, NJ	09/13/2023	10/01/2023
CODINIX INC	QA AUTOMATION ENGINEER	80,000	ISELIN, NJ	09/01/2023	10/01/2023
V3TECH SOLUTIONS INC	QA AUTOMATION ENGINEER	80,000	PORTLAND, OR	04/25/2023	04/25/2023
DOTCOM TEAM LLC	QA AUTOMATION ENGINEER	80,000	FRAMINGHAM, MA	04/26/2023	05/13/2023
CLOUDWORKS INC	QA AUTOMATION ENGINEER	80,000	CELINA, TX	05/09/2023	10/02/2023
SPLN INTERNATIONAL LLC	QA AUTOMATION ENGINEER	80,000	JERSEY CITY, NJ	06/05/2023	10/01/2023
COGNIER INC	QA AUTOMATION ENGINEER	80,059	ALPHARETTA, GA	06/28/2023	07/03/2023
HUMAN RESOURCE AND KNOWLEDGE INC	QA AUTOMATION ENGINEER	80,059	ALPHARETTA, GA	02/01/2023	02/01/2023
PRO IT NEEDS LLC	QA AUTOMATION ENGINEER	80,400	KING OF PRUSSA, SC	04/28/2023	10/01/2023
GENESIS INFORMATION TECHNOLOGY & SERVICES LLC	QA AUTOMATION ENGINEER	80,850	IRVING, TX	05/24/2023	10/01/2023
WARREN AND CARTER TECHNOLOGIES INC	QA AUTOMATION ENGINEER	81,100	RICHMOND, TX	07/14/2023	10/01/2023
COGNIER INC	QA AUTOMATION ENGINEER	81,328	IRVING, TX	09/15/2023	09/22/2023
TECH ABSTRACTOR LLC	QA AUTOMATION ENGINEER	81,328	FARMERS BRANCH, TX	08/31/2023	10/01/2023
TEKREANT INC	QA AUTOMATION ENGINEER	81,328	IRVING, TX	07/13/2023	07/14/2023
MANASI INFORMATION TECHNOLOGIES INC	QA AUTOMATION ENGINEER	81,400	AUGUSTA, GA	07/05/2023	09/06/2023
V3TECH SOLUTIONS INC	QA AUTOMATION ENGINEER	82,000	PORTLAND, OR	07/03/2023	07/10/2023
LAASIM TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	82,826	STAMFORD, CT	06/19/2023	10/01/2023
LUCID TECHNOLOGIES INC	QA AUTOMATION ENGINEER	84,198	OMAHA, NE	04/21/2023	05/01/2023
MARVEL TECHNOLOGIES INC	QA AUTOMATION ENGINEER	85,000	COLUMBUS, OH	04/14/2023	04/21/2023
KANAP SYSTEMS LLC	QA AUTOMATION ENGINEER	85,613	TEMPLE TERRACE, FL	04/18/2023	07/21/2023
INTELLECTPEOPLE TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	85,925	SNELLVILLE, GA	09/05/2023	10/01/2023
HUMAN RESOURCE AND KNOWLEDGE INC	QA AUTOMATION ENGINEER	85,925	ALPHARETTA, GA	07/11/2023	10/01/2023
DWBI SERVICES INC	QA AUTOMATION ENGINEER	85,925	SANDY SPRINGS, GA	07/04/2023	07/05/2023
WISELINK GLOBAL INC	QA AUTOMATION ENGINEER	86,611	GERMANTOWN, MD	06/18/2023	10/01/2023
WISELINK GLOBAL INC	QA AUTOMATION ENGINEER	86,611	GERMANTOWN, MD	06/18/2023	10/01/2023
FRIENDLY CONSULTANTS INC	QA AUTOMATION ENGINEER	86,700	ARLINGTON, VA	04/20/2023	06/01/2023
PURPLE WEB INC	QA AUTOMATION ENGINEER	87,000	NEW ALBANY, OH	07/19/2023	10/15/2023
FINACLE SOFT INC	QA AUTOMATION ENGINEER	89,128	LAKE MARY, FL	08/21/2023	08/21/2023
TECHNOLOGY HUB INC	QA AUTOMATION ENGINEER	89,731	RALEIGH, NC	06/27/2023	07/10/2023
TECHNOLOGY HUB INC	QA AUTOMATION ENGINEER	89,731	MORRISVILLE, NC	06/13/2023	06/26/2023
TECHNOLOGY HUB INC	QA AUTOMATION ENGINEER	89,731	MORRISVILLE, NC	06/20/2023	06/26/2023
MEGHAZ INC	QA AUTOMATION ENGINEER	90,000	WILDWOOD, MO	04/07/2023	10/01/2023
FRIENDLY CONSULTANTS INC	QA AUTOMATION ENGINEER	90,000	BOISE, ID	03/03/2023	05/01/2023
SLOKA TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	90,000	FRISCO, TX	05/19/2023	10/01/2023
SVATS INC	QA AUTOMATION ENGINEER	90,050	PITTSBURGH, PA	06/30/2023	07/01/2023
INFO KEYS INC	QA AUTOMATION ENGINEER	90,106	JACKSONVILLE, FL	09/14/2023	09/25/2023
WISE EQUATION SOLUTIONS INC	QA AUTOMATION ENGINEER	90,979	LITTLETON, CO	08/29/2023	09/11/2023
HANUHIGH TECHNOLOGIES INC	QA AUTOMATION ENGINEER	91,291	FARMERS BRANCH, TX	02/01/2023	02/01/2023
AHAAPPS LLC	QA AUTOMATION ENGINEER	92,000	RICHMOND, VA	05/22/2023	10/01/2023
TECHNODEED LLC	QA AUTOMATION ENGINEER	92,290	ST PAUL, MN	04/26/2023	05/10/2023
SONY INTERACTIVE ENTERTAINMENT LLC	QA AUTOMATION ENGINEER	92,300	SAN MATEO, CA	02/01/2023	02/09/2023
GUSTO INC	QA AUTOMATION ENGINEER	92,500	SCOTTSDALE, AZ	08/28/2023	10/01/2023
MORNINGSTAR INC	QA AUTOMATION ENGINEER	92,645	CHICAGO, IL	05/16/2023	09/01/2023
SUN-IT SOLUTIONS INC	QA AUTOMATION ENGINEER	93,163	MANCHESTER, CT	03/22/2023	03/30/2023
ZILLION TECHNOLOGIES INC	QA AUTOMATION ENGINEER	93,766	MALDEN, MA	03/01/2023	03/08/2023
AKRA SOLUTIONS LLC	QA AUTOMATION ENGINEER	93,766	BOSTON, MA	06/12/2023	10/01/2023
VIRTUAL NETWORX INC	QA AUTOMATION ENGINEER	94,037	KATY, TX	01/11/2023	01/16/2023
LUZON TECHNOLOGIES INC	QA AUTOMATION ENGINEER	94,058	VIENNA, VA	09/06/2023	10/01/2023
BVM TECHNOLOGY ASSOCIATES INC	QA AUTOMATION ENGINEER	94,058	HARTFORD, CT	07/06/2023	10/01/2023
INGENIOUS HEADS LLC	QA AUTOMATION ENGINEER	94,100	CHICAGO, IL	05/15/2023	10/01/2023
INTELLIGROUP USA LTD	QA AUTOMATION ENGINEER	95,000	PHILADELPHIA, PA	07/31/2023	09/30/2023
NEOTEK SOLUTIONS LLC	QA AUTOMATION ENGINEER	96,000	MINNETONKA, MN	03/17/2023	03/17/2023
MINDQUEST TECHNOLOGY SOLUTIONS LLC	QA AUTOMATION ENGINEER	96,600	WESTERVILLE, OH	07/20/2023	12/24/2023
SACROSANCTINFO LLC	QA AUTOMATION ENGINEER	97,053	BERKELEY HEIGHTS, NJ	03/08/2023	03/13/2023
CAREER SOFT SOLUTIONS INC	QA AUTOMATION ENGINEER	97,053	BERKELEY HEIGHTS, NJ	05/17/2023	06/01/2023
CAREER SOFT SOLUTIONS INC	QA AUTOMATION ENGINEER	97,053	BERKELEY HEIGHTS, NJ	05/17/2023	06/01/2023
OBJECT EXPERTS LLC	QA AUTOMATION ENGINEER	97,053	MONMOUTH JUNCTION, NJ	06/12/2023	10/01/2023
OBJECT EXPERTS LLC	QA AUTOMATION ENGINEER	97,053	MONMOUTH JUNCTION, NJ	06/12/2023	10/01/2023
OBJECT EXPERTS LLC	QA AUTOMATION ENGINEER	97,053	MONMOUTH JUNCTION, NJ	06/12/2023	10/01/2023
ACTIVE AERO GROUP INC	QA AUTOMATION ENGINEER	97,264	BELLEVILLE, MI	02/23/2023	07/13/2023
TECHEMPO INC	QA AUTOMATION ENGINEER	97,500	EDISON, NJ	06/19/2023	10/01/2023
TATVA TEK INC	QA AUTOMATION ENGINEER	97,500	PARISPPANY, NJ	06/19/2023	10/01/2023
ANVIM TECH INC	QA AUTOMATION ENGINEER	98,000	PISCATAWAY, NJ	05/03/2023	10/01/2023
ANVIM TECH INC	QA AUTOMATION ENGINEER	98,000	PISCATAWAY, NJ	05/03/2023	10/01/2023
SLOKA TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	98,000	MANALAPAN, NJ	05/19/2023	10/01/2023
SLOKA TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	98,000	MANALAPAN, NJ	06/10/2023	10/01/2023
MICROINFO INC	QA AUTOMATION ENGINEER	98,904	FRISCO, TX	04/05/2023	04/10/2023
CLOUD ACT LLC	QA AUTOMATION ENGINEER	98,904	MCKINNEY, TX	06/19/2023	10/01/2023
AVANI SYSTEMS INC	QA AUTOMATION ENGINEER	99,000	DALLAS, TX	06/30/2023	06/30/2023
ZORBA BUDDHA INC	QA AUTOMATION ENGINEER	99,000	HURST, TX	08/03/2023	10/01/2023
USM BUSINESS SYTEMS INC	QA AUTOMATION ENGINEER	99,010	RICHMOND, VA	02/23/2023	03/01/2023
HUMAN RESOURCE AND KNOWLEDGE INC	QA AUTOMATION ENGINEER	99,549	ISELIN, NJ	08/01/2023	10/01/2023
MINDSYS INC	QA AUTOMATION ENGINEER	99,549	CRANBURY, NJ	08/28/2023	09/30/2023
GALAXESOLUTIONS INC	QA AUTOMATION ENGINEER	99,549	AUSTIN, TX	08/25/2023	09/08/2023
FLEXON TECHNOLOGIES INC	QA AUTOMATION ENGINEER	99,840	BEVERLY, NJ	09/06/2023	09/18/2023
COREVANCE INC	QA AUTOMATION ENGINEER	100,000	INDIANAPOLIS, IN	08/17/2023	08/28/2023
ORIGIN TO FUTURE INC	QA AUTOMATION ENGINEER	100,000	RICHARDSON, TX	04/24/2023	05/01/2023
TRIGINT SOLUTIONS LLC	QA AUTOMATION ENGINEER	100,360	COLUMBIA, MD	09/20/2023	10/01/2023
VALOURUSA INC	QA AUTOMATION ENGINEER	101,109	CHARLOTTE, NC	06/02/2023	06/07/2023
NEXTGEN INFORMATION SERVICES INC	QA AUTOMATION ENGINEER	101,200	MARYLAND HEIGHTS, MO	08/23/2023	08/30/2023
AVANI SYSTEMS INC	QA AUTOMATION ENGINEER	101,500	CHICAGO, IL	01/20/2023	01/20/2023
APPS SOLUTIONS INC	QA AUTOMATION ENGINEER	101,754	VOORHEES, NJ	08/02/2023	08/02/2023
GENERAL MOTORS COMPANY	QA AUTOMATION ENGINEER	102,008	CHANDLER, AZ	09/05/2023	10/01/2023
VIRTUAL NETWORX INC	QA AUTOMATION ENGINEER	102,482	GREENWOOD VILLAGE, CO	05/17/2023	05/22/2023
INVENCES INC	QA AUTOMATION ENGINEER	102,835	CARROLLTON, TX	05/02/2023	05/02/2023
PYRAMID TECHNOLOGY SOLUTIONS INC	QA AUTOMATION ENGINEER	102,835	PLEASANTON, CA	06/07/2023	10/01/2023
AISERA INC	QA AUTOMATION ENGINEER	105,000	PALO ALTO, CA	04/10/2023	10/01/2023
SLYON TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	105,350	ENGLEWOOD, CO	08/18/2023	09/30/2023
SLYON TECHNOLOGIES LLC	QA AUTOMATION ENGINEER	105,350	ENGLEWOOD, CO	07/28/2023	09/30/2023
AIBC SOLUTIONS LLC	QA AUTOMATION ENGINEER	107,557	CARY, NC	04/16/2023	04/24/2023
VST CONSULTING INC	QA AUTOMATION ENGINEER	109,300	JERSEY CITY, NJ	04/14/2023	05/11/2023
IGEN SYSTEMS LLC	QA AUTOMATION ENGINEER	110,000	BASKING RIDGE, NJ	08/22/2023	08/28/2023
VIDMOB INC	QA AUTOMATION ENGINEER	110,448	THONOTOSASSA, FL	09/07/2023	09/07/2023
BETASHARP INC	QA AUTOMATION ENGINEER	113,110	SAN JOSE, CA	04/05/2023	04/12/2023
NORTHEASTERN UNIVERSITY	QA AUTOMATION ENGINEER	113,161	BOSTON, MA	04/18/2023	05/18/2023
SPIDERROCK PLATFORM SERVICES LLC	QA AUTOMATION ENGINEER	114,067	CHICAGO, IL	06/29/2023	06/30/2023
DRFIRSTCOM INC	QA AUTOMATION ENGINEER	114,436	CELINA, TX	06/30/2023	08/01/2023
DGN TECHNOLOGIES INC	QA AUTOMATION ENGINEER	115,000	SANTA CLARA, CA	01/30/2023	02/06/2023
HEXAR IT SOLUTIONS INC	QA AUTOMATION ENGINEER	116,100	SAN JOSE, CA	02/22/2023	02/22/2023
TEKINVADERZ LLC	QA AUTOMATION ENGINEER	117,770	OAKLAND, CA	04/18/2023	10/01/2023
TEKINVADERZ LLC	QA AUTOMATION ENGINEER	117,770	OAKLAND, CA	04/28/2023	10/01/2023
HITPS LLC	QA AUTOMATION ENGINEER	118,518	NEW YORK, NY	03/09/2023	08/17/2023
AMMALUIT CORP	QA AUTOMATION ENGINEER	120,000	SUNNYVALE, CA	06/19/2023	06/26/2023
PICARRO INC	QA AUTOMATION ENGINEER	125,000	SANTA CLARA, CA	05/05/2023	10/01/2023
WORLD KINECT CORPORATION	QA AUTOMATION ENGINEER	125,424	MIAMI, FL	07/31/2023	10/31/2023
RXADVANCE CORPORATION	QA AUTOMATION ENGINEER	130,000	SOUTHBOROUGH, MA	01/05/2023	01/16/2023
DESIGNER BRANDS INC F/K/A DSW INC	QA AUTOMATION ENGINEER	137,700	NEW ALBANY, OH	08/17/2023	11/13/2023
VIRTUAL NETWORX INC	QA AUTOMATION ENGINEER	141,378	SUNNYVALE, CA	01/27/2023	07/15/2023
JPMORGAN CHASE & CO	QA AUTOMATION ENGINEER	145,000	SAN FRANCISCO, CA	06/15/2023	07/02/2023
QUALITY MATRIX INC	QA AUTOMATION ENGINEER  DEVELOPER	95,702	KING OF PRUSSIA, PA	06/30/2023	10/01/2023
QUALITY MATRIX INC	QA AUTOMATION ENGINEER  DEVELOPER	100,070	ROYERSFORD, PA	08/21/2023	10/01/2023
TSS WIRELESS INC	QA AUTOMATION ENGINEER  LEAD	138,600	GLENDALE, CA	02/01/2023	02/10/2023
STULLER INC	QA AUTOMATION ENGINEER 5	92,500	PLANO, TX	02/23/2023	08/25/2023
AMENSYS INC	QA AUTOMATION ENGINEER DEVELOPER	93,900	GREENWOOD VILLAGE, CO	05/24/2023	10/11/2023
ELECTION SYSTEMS & SOFTWARE LLC	QA AUTOMATION ENGINEER II	92,788	OMAHA, NE	04/03/2023	10/01/2023
RELEVANCE LAB INC	QA AUTOMATION ENGINEER II	128,000	NEW YORK, NY	01/02/2023	01/09/2023
LIVEPERSON INC	QA AUTOMATION ENGINEER III	140,000	NEW YORK, NY	04/03/2023	04/18/2023
XFORIA INC	QA AUTOMATION ENGINEER IN SOFTWARE DEVELOPMENT	74,381	FRISCO, TX	06/01/2023	10/01/2023
WORLD FUEL SERVICES CORPORATION	QA AUTOMATION ENGINEER IV	125,424	MIAMI, FL	07/06/2023	11/01/2023
VERTEX ANALYTICS INC	QA AUTOMATION ENGINEER LEAD	95,000	WESLEY CHAPEL, FL	02/27/2023	03/13/2023
VERTEX ANALYTICS INC	QA AUTOMATION ENGINEER LEAD	95,000	WESLEY CHAPEL, FL	02/27/2023	03/13/2023
PROPIO LS LLC	QA AUTOMATION ENGINEER LEAD	150,000	MONROE, WA	03/30/2023	04/10/2023
ICLOUD TECHNOLOGIES CORP	QA AUTOMATION ENGINEER SDET	74,400	COPPELL, TX	01/05/2023	01/09/2023
TECHNOSOFT GROUP INC	QA AUTOMATION ENGINEER SDET	99,000	EDEN PRAIRIE, MN	04/21/2023	10/21/2023
KRDL USA INC	QA AUTOMATION ENGINEER SELENIUM JAVA	94,016	LINCOLNSHIRE, IL	05/26/2023	10/01/2023
PRESBYTERIAN HEALTHCARE SERVICES	QA AUTOMATION ENGINEER-SR	97,300	ALBUQUERQUE, NM	03/06/2023	03/20/2023
SOFTWARE ENTERPRISE LLC	QA AUTOMATION ENGINEERÂ	85,160	SAINT LOUIS, MO	03/17/2023	03/18/2023
S4SOFT INC	QA AUTOMATION LEAD	68,058	MEMPHIS, TN	07/11/2023	07/17/2023
S4SOFT INC	QA AUTOMATION LEAD	68,058	MEMPHIS, TN	07/24/2023	07/31/2023
TANGENSIS INC	QA AUTOMATION LEAD	71,261	SAN ANTONIO, TX	06/21/2023	06/21/2023
TOGETHERWORK OPERATIONS LLC	QA AUTOMATION LEAD	71,510	LAFAYETTE, LA	04/12/2023	04/19/2023
HEXAWARE TECHNOLOGIES INC	QA AUTOMATION LEAD	78,957	CHICAGO, IL	05/12/2023	05/19/2023
COGNITIVE TECHNOLOGY SOLUTIONS INC	QA AUTOMATION LEAD	81,400	IRVING, TX	08/29/2023	10/01/2023
MYTHRI CONSULTING LLC	QA AUTOMATION LEAD	82,020	LOUISVILLE, KY	04/26/2023	10/01/2023
ZENSOFT IT SOLUTIONS INC	QA AUTOMATION LEAD	85,000	CAMP HILL, PA	02/02/2023	02/17/2023
SMARTEQ SOLUTIONS LLC	QA AUTOMATION LEAD	88,500	DURHAM, NC	07/14/2023	07/14/2023
CREATIVE TEAM LLC	QA AUTOMATION LEAD	90,522	SUNNYVALE, CA	03/14/2023	03/14/2023
INFOGAIN CORPORATION	QA AUTOMATION LEAD	90,918	MCKINNEY, TX	01/10/2023	01/16/2023
PHOTON INFOTECH INC	QA AUTOMATION LEAD	91,291	DALLAS, TX	05/10/2023	05/22/2023
ILOGIC STAFFING LLC	QA AUTOMATION LEAD	130,000	RANCHO CORDOVA, CA	02/21/2023	02/27/2023
INFINITE COMPUTER SOLUTIONS INC	QA AUTOMATION LEAD	140,000	FREMONT, CA	03/28/2023	04/03/2023
LUKKA INC	QA AUTOMATION LEAD	155,000	REDMOND, WA	02/28/2023	03/20/2023
AMENSYS INC	QA AUTOMATION MANUAL TESTING DEVELOPER	109,290	HOLMDEL, NJ	04/18/2023	08/18/2023
AMENSYS INC	QA AUTOMATION MANUAL TESTING DEVELOPER	109,290	HOLMDEL, NJ	04/19/2023	08/18/2023
USG INC	QA AUTOMATION PYTHON DEVELOPER	85,405	TROY,, MI	06/15/2023	10/01/2023
GENESIS INFORMATION TECHNOLOGY & SERVICES LLC	QA AUTOMATION SENIOR ENGINEER	81,328	IRVING, TX	09/14/2023	10/01/2023
KHYAATI SOFT LLC	QA AUTOMATION SOFTWARE ENGINEER	70,000	IRVING, TX	05/25/2023	10/01/2023
GALLEGA SOFTWARE SOLUTIONS INC	QA AUTOMATION TEST ENGINEER	75,234	JARELL, TX	04/20/2023	10/01/2023
INTELLILINK TECHNOLOGIES INC	QA AUTOMATION TEST ENGINEER	81,500	DALLAS, TX	09/19/2023	09/27/2023
DATAD SOLUTIONS INC D/B/A ACRM	QA AUTOMATION TEST ENGINEER	88,442	BETHESDA, MD	09/07/2023	10/02/2023
PI LABS INC	QA AUTOMATION TEST ENGINEER	98,509	MILPITAS, CA	08/02/2023	08/11/2023
BKFS I SERVICES LLC	QA AUTOMATION TEST ENGINEER APPLICATIONS PROGRAMMER	112,320	PLANO, TX	06/21/2023	11/30/2023
EXCEL IT CORP	QA AUTOMATION TEST LEAD	96,999	VALENCIA, CA	09/19/2023	09/20/2023
DENKEN SOLUTIONS INC	QA AUTOMATION TESTER	64,000	CLEVELAND, OH	04/11/2023	10/01/2023
DENKEN SOLUTIONS INC	QA AUTOMATION TESTER	64,000	CLEVELAND, OH	04/11/2023	10/01/2023
DENKEN SOLUTIONS INC	QA AUTOMATION TESTER	64,000	CLEVELAND, OH	06/14/2023	10/01/2023
DENKEN SOLUTIONS INC	QA AUTOMATION TESTER	69,040	CLEVELAND, OH	08/17/2023	09/18/2023
I-LINK SOLUTIONS INC	QA AUTOMATION TESTER	77,000	CUMMING, GA	02/04/2023	03/07/2023
I-LINK SOLUTIONS INC	QA AUTOMATION TESTER	77,000	CUMMING, GA	02/06/2023	03/07/2023
XFORIA INC	QA AUTOMATION TESTER	90,000	IRVING, TX	04/21/2023	05/04/2023
VIZION TECHNOLOGIES LLC	QA AUTOMATION TESTER	68,869	DUBLIN, OH	06/13/2023	10/01/2023
VITS CONSULTING CORP	QA AUTOMATION TESTER	72,966	PLANO, TX	03/16/2023	04/01/2023
VITS CONSULTING CORP	QA AUTOMATION TESTER	74,381	FARMERS BRANCH, TX	03/15/2023	04/01/2023
CELERSOFT LLC	QA AUTOMATION TESTER	75,795	HOUSTON, TX	06/12/2023	10/01/2023
CELERSOFT LLC	QA AUTOMATION TESTER	75,795	HOUSTON, TX	06/15/2023	10/01/2023
VITS CONSULTING CORP	QA AUTOMATION TESTER	76,690	PLANO, TX	03/24/2023	04/01/2023
SYSTEM SOFT TECHNOLOGIES LLC	QA AUTOMATION TESTER	80,000	CHATTANOOGA, TN	04/05/2023	05/23/2023
SYSTEM SOFT TECHNOLOGIES LLC	QA AUTOMATION TESTER	80,000	MANCHESTER, MO	04/05/2023	05/23/2023
GEEKSOFT LLC	QA AUTOMATION TESTER	81,078	PRINCETON, NJ	05/03/2023	08/31/2023
RADCOM SOFTWARE SERVICES LLC	QA AUTOMATION TESTER	81,328	FRISCO, TX	08/18/2023	08/28/2023
UNIQUE KEY RESOURCES INC	QA AUTOMATION TESTER	81,500	DALLAS, TX	07/14/2023	07/14/2023
UNIQUE KEY RESOURCES INC	QA AUTOMATION TESTER	81,500	MCKINNEY, TX	07/17/2023	07/17/2023
CVSLOGICCOM INC	QA AUTOMATION TESTER	89,731	GARNER, NC	06/22/2023	07/10/2023
OMA4 LLC	QA AUTOMATION TESTER	92,000	DURHAM, NC	07/07/2023	07/12/2023
ICLOUD TECHNOLOGIES CORP	QA AUTOMATION TESTER	93,000	CARY, NC	06/30/2023	10/01/2023
ICLOUD TECHNOLOGIES CORP	QA AUTOMATION TESTER	93,000	CARY, NC	06/15/2023	10/01/2023
PRIMESOFT INC	QA AUTOMATION TESTER	98,000	PISCATAWAY, NJ	06/07/2023	10/01/2023
GEORGE VENTURES LLC	QA AUTOMATION TESTER	105,000	BERWYN, PA	08/04/2023	09/09/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	110,000	WESTLAKE, TX	06/14/2023	07/10/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	114,000	DURHAM, NC	03/09/2023	04/21/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	115,000	DURHAM, NC	05/24/2023	08/11/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	115,000	WESTLAKE, TX	05/31/2023	09/28/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	115,000	WESTLAKE, TX	06/08/2023	09/28/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	120,000	DURHAM, NC	03/10/2023	04/04/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	120,000	WESTLAKE, TX	06/22/2023	07/20/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	120,000	WESTLAKE, TX	06/23/2023	07/20/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	125,000	WESTLAKE, TX	03/30/2023	04/24/2023
DIGIPULSE TECHNOLOGIES INC	QA AUTOMATION TESTER	125,000	DURHAM, NC	07/31/2023	08/21/2023
